

FT125,Engineering ,350,425
FT128,Transport Technology ,240,310
FT130,Printing Management ,215,320
FT213,Forensic and Environmental Science ,420,450
FT214,Biomedical Science ,445,480
FT221,Engineering ,347,420
FT222,Applied Sciences ,240,330
FT223,Human Nutrition Dietetics ,520,535
FT224,Optometry ,515,535
FT228,Computer Science ,300,340
FT229,Clinical Measurement ,300,420
FT255,Int Business and Languages French ,310,400
FT256,Int Business and Languages German ,230,370
FT257,Int Business and Languages Spanish ,325,370
FT259,Photography 
FT281,Computer Engineering ,265,345
FT351,Business Studies ,405,420
FT352,Media Arts ,465,495
FT353,Journalism and a Language ,465,490
FT354,Information Systems Development ,300,370
FT358,Transport and Logistics ,290,335
FT359,Management and Law ,320,355
FT401,Hospitality Mgt ,305,340
FT402,Tourism Marketing ,340,355
FT403,Culinary Arts ,275,335
FT404,Leisure Management ,355,370
FT471,Social Care ,370,385
FT472,Early Child Care and Education ,365,385
FT480,Food Tech ,260,360
FT491,Environmental Health ,310,385
FT541,Marketing ,375,390
FT542,Management Marketing ,410,425
FT543,Retail Services Management ,345,360
FT544,Design Interior Furniture 
FT545,Design Visual Communication 
FT546,Fine Art 
FT601,Music 









DL041,Animation 
DL042,Photography 
DL043,Visual Communication 
DL141,Psychology ,290,360
DL241,Cultural stud ,425
DL242,Arts and Media Management ,325,355









FR001,Froebel ,450
FR002,









GC400,Business Studies ,200,315
GC401,Accounting and Finance ,250,340
GC402,Law with Business ,300,350
GC430,Computing Science ,240,305
GC450,Journalism and Media Comms ,280,340









TA109,Applied Languages ,280,330
TA110,European Studies ,250,315
TA307,Pharmaceutical Sciences ,265,335









MD201,
MD301,
MD401,
MD500,Irish Studies and Religious Studies ,300,335









PT011,BA Philosophy ,320,350
PT012,BA Theology and Pastoral Care AQA ,275
PT013,BA ,325,385
PT014,BA Theology Anthropology AQA ,285









AD001,Teaching 









NC001,
NC002,European No Offers 
NC003,Software Systems ,300,325
NC011,Based Part ,250
NC012,European Based Part No Offers 
NC013,Software Systems Area Based Part No Offers 









PB253,Business Studies ,195,305









RC001,Medicine ,570
RC003,Medicine with Leaving Cert Scholarship ,590,590
RC004,Physiotherapy ,535
RC005,Pharmacy ,545









CS001,Home Economics ,435,455









PD101,Drumcondra ,455,480
PD102,
PD103,Humanities ,400,425









TR002,Music ,510
TR003,History ,510
TR004,Law ,570
TR005,Philosophy ,470,480
TR006,Psychology ,545
TR007,Clinical Speech and Language Studies ,540
TR008,Biblical and Theological Studies ,310,360
TR009,Music Education ,455
TR010,Computer Science Linguistics and German ,400,500
TR011,Computer Science Linguistics and French ,385,530
TR012,History and Political Science ,555
TR013,Computer Science Linguistics and Irish No Offers 
TR014,Philosophy and Political Science ,525
TR018,Law and French ,590
TR019,Law and German ,555,570
TR021,Classics ,390,555
TR022,Early and Modern Irish ,310,355
TR023,English Studies ,505,540
TR024,European Studies ,505,540
TR025,Drama and Theatre Studies ,570
TR026,Germanic Languages ,345,390
TR031,Mathematics ,365,485
TR032,Engineering ,445,480
TR033,Computer Science ,340,440
TR034,Management Science and Information Systems Studies ,465,510
TR035,Theoretical Physics ,550
TR036,Computer Science Evening ,330,430
TR037,Information Communications Technology ,350,415
TR038,Manufacturing Engineering with Management Science ,330,410
TR051,Medicine ,570
TR052,Dental Science ,570
TR053,Physiotherapy ,555
TR054,Occupational Therapy ,510
TR055,Therapeutic Radiography ,515
TR071,Science ,425,480
TR072,Pharmacy ,555
TR073,Human Genetics ,515,530
TR074,Computational Chemistry Computational Physics ,410,495
TR075,Medicinal Chemistry ,440,495
TR076,Physics and Chemistry of Advanced Materials ,335,420
TR081,Business Economic and Social Studies ,470,495
TR083,Sociology and Social Policy ,465,495
TR084,Social Studies Work ,480,500
TR085,Business Studies and French ,495
TR086,Business Studies and German ,420,450
TR087,Business Studies and Russian ,440,455
TR091,General Nursing and St ,390
TR092,Mature Applicants Gen Nursing and St 
TR093,General Nursing School of ,390,425
TR094,Mature Applicants Gen Nursing School of 
TR095,Psychiatric Nursing ,280,345
TR096,Mature Applicants Psychiatric Nursing 
TR097,Mental Handicap Nursing ,260,330
TR098,Mature Applicants Mental Handicap Nursing 
TR001,Moderatorship 


































DN001,Architecture ,530,550
DN002,Medicine ,575
DN004,Radiography ,490,515
DN005,Veterinary Medicine ,565
DN006,Physiotherapy ,540
DN007,Social Science ,400,435
DN008,Science ,280,400
DN009,Law ,535
DN010,Agricultural Science ,310,370
DN011,Music 
DN012,Arts ,420
DN014,Irish ,445,455
DN015,Commerce ,460,480
DN016,
DN017,
DN018,
DN019,
DN020,Actuarial and Financial Studies ,560,580
DN021,Business and Legal Studies ,495,510
DN022,Arts ,190,555
DN024,Sports Management ,405,425
DN026,Economics Finance ,475,505
DN029,Law with French Law ,540,560
DN030,Computer Science ,310,375
DN031,Theoretical Physics ,435,535
DN032,Mathematical Science ,430,545
DN040,Food Science ,340,385
DN041,Landscape Horticulture ,350,400
DN042,Forestry ,300,360
DN043,Agribusiness and Rural Development ,310,345
DN044,Agricultural and Environmental Science ,310,340
DN045,Animal and Crop Production ,310,355
DN046,Animal Science ,330,385
DN047,Engineering Technology ,325,360
DN048,Horticultural Science ,325,370
DN050,Computer Science ,330,365
DN051,Economics ,455
DN052,History ,470,495
DN053,Philosophy ,495,505
DN054,Psychology ,525,535
DN057,BA International French ,445,480
DN058,BA International German ,370,400
DN059,BA International Spanish ,415,460
DN070,Agricultural and Food Engineering ,340,400
DN071,Chemical Engineering ,435,510
DN072,Civil Engineering ,480
DN073,Electronic or Electrical ,360,445
DN074,Mechanical Engineering ,460,485
DN075,Civil Engineering or Mechanical ,490,525
DN105,Veterinary Medicine Graduate Entry ,605,605
DN110,General Nursing ,335,360
DN111,Mature Applicants General Nursing 
DN120,Psychiatric Nursing ,330,390
DN121,Mature Applicants Psychiatric Nursing 









DK057,General Nursing ,325,340
DK061,Mental Handicap Nursing ,185,285
DK097,Psychiatric Nursing ,260,300
DK104,Accounting Finance ,300,350
DK106,Marketing ,265,320
DK108,Computing Internet Technologies ,210,305
DK109,Building Surveying ,285,325
DK111,Music ,340
DK157,Mature Applicants General Nursing 
DK161,Mature Applicants Mental Handicap Nursing 
DK197,Mature Applicants Psychiatric Nursing 
DK206,Marketing French ,270,330
DK208,Computing Technologies with ,290,315









GA247,Theological Studies Practice ,250,320
GA319,
GA442,Construction Management ,355,385
GA810,General Nursing ,355,365
GA811,Mature Applicants General Nursing 
GA820,Psychiatric Nursing ,260,300
GA821,Mature Applicants Psychiatric Nursing 









GY101,Arts ,405,440
GY102,Arts ,335,355
GY103,Arts Social ,390
GY104,Arts Psychology ,540
GY201,Commerce ,450
GY202,Commerce with French ,495,540
GY203,Commerce with German ,370,445
GY204,Commerce with Spanish ,400,440
GY205,Commerce with Italian ,375,415
GY206,Business Information Systems ,380,395
GY250,Corporate Law ,505
GY251,Bachelor of Civil Law ,515,530
GY301,Science ,320,390
GY302,
GY303,Biomedical Science ,480,500
GY304,Biotechnology ,410,460
GY306,Computing Studies ,345,405
GY307,Earth Sciences ,330,370
GY308,Environmental Science ,375,415
GY309,Financial Mathematics and ,480,505
GY310,Marine Science ,345,380
GY312,Physics and Astronomy ,375,475
GY313,Health and Safety Systems ,360,385
GY350,Information Technology ,255,350
GY401,Engineering ,485
GY402,Civil Engineering ,485,510
GY403,Electronic Engineering ,370,435
GY404,Industrial Engineering ,320,410
GY405,Mechanical Engineering ,440,460
GY406,Electronic Computer Engineering ,355,435
GY407,Engineering with Language ,380,390
GY408,Biomedical Engineering ,445,485
GY409,Environmental Engineering ,460,460
GY501,Medicine ,570
GY502,Occupational Therapy ,495
GY503,Speech and Language Therapy ,515
GY515,General Nursing and ,415
GY516,Psychiatric Nursing ,385
GY525,Mature Applicants Gen Nursing and Portiunc 
GY526,Mature Applicants Psychiatric Nursing 









LY137,General Nursing ,345,370
LY142,Psychiatric Nursing ,310,330
LY151,Computing with Data Communications ,220,355
LY152,Mental Handicap Nursing ,225,295
LY237,Mature Applicants General Nursing 
LY242,Mature Applicants Psychiatric Nursing 
LY252,Mature Applicants Mental Handicap Nursing 









LC331,Software Development ,285,310
LC341,Multi Media Computing Design ,310,345
LC471,Quantity Surveying ,395,410
LC481,Valuation Surveying ,355,370
LC491,Construction Management ,340,360
LC641,Business Studies Tourism ,330,355
LC651,Science Forensic ,430,455









MI005,Mary Immaculate ,490
MI006,Mary ,425,480
MI007,Early Childhood Care Education ,380,395









LM020,Law and Accounting ,500,530
LM021,
LM030,Irish Music and Dance 
LM033,New Media and English ,435,460
LM034,Politics and French ,395,475
LM035,English and History ,380,390
LM036,Economics and Sociology ,365,390
LM040,European Studies ,350,375
LM041,Public Administration ,365,375
LM042,Studies ,480,505
LM043,
LM044,Applied Languages ,455,485
LM045,Language Cultural Studies ,370,410
LM046,
LM047,Arts ,395,425
LM048,Irish Studies ,360,375
LM050,Business Studies ,430
LM051,Computer Systems ,270,355
LM052,
LM053,
LM054,
LM055,
LM057,Economics and Mathematical Sciences ,410,475
LM059,Computer Systems with French no offers 
LM060,Mathematical ,410,470
LM061,Industrial Chemistry ,405,435
LM062,Advanced Biomedical Materials ,330,380
LM063,Production Management ,330,355
LM064,Industrial Biochemistry ,395,455
LM065,Applied Physics ,390,425
LM066,Environmental Science ,355,395
LM067,Wood ,330,365
LM068,Food Technology ,320,335
LM069,Computer Engineering ,350,425
LM070,Electronic Engineering ,355,465
LM071,Biomedical Engineering ,420,470
LM072,Industrial Design 
LM073,Mechanical Engineering ,415,470
LM074,Computer Integrated design ,400,495
LM076,Product Design and Technology 
LM077,Aeronautical Eng ,420,450
LM078,Mech Engineering German ,435,435
LM079,Manufacturing Engineering ,345,400
LM080,Electronic Systems ,300,340
LM081,Manufacturing Technol ,315,360
LM083,Information Technology ,295,350
LM089,Sports Science ,445,475
LM090,PE Teaching 
LM092,Biological with Teaching ,365,415
LM093,Equine Science ,310,365
LM094,Teaching ,435
LM095,Teaching ,375,395
LM096,Physics and Chemistry Teaching ,395,450
LM100,Physiotherapy ,565,580
LM150,General Nursing ,385,405
LM151,Mature Applicants General Nursing 
LM152,Mental Health Nursing ,340
LM153,Mature Applicants Mental Health Nursing 
LM154,Intellectual Disability Nursing ,305,340
LM155,Mature Applicants Intellectual Disability Nursing 









MH101,Arts ,405
MH102,Finance ,370,395
MH103,Music 
MH106,Psychology ,515
MH107,Social Science ,405,425
MH108,Studies ,385,420
MH109,Media Studies ,485
MH201,Science ,310,370
MH202,Biotechnology ,315,345
MH203,Computer Science ,320,360
MH204,Physics with Astrophysics ,405,455
MH205,Theoretical Physics Computer Science ,365,405
MH206,Theoretical Physics and Mathematics ,500,560
MH207,Computational Biology Bioinformatics ,430,475
MH208,Biological Science ,365,425
MH209,Psychology ,480,505
MH210,Chemistry with Pharmaceutical Chemistry ,400,445
MH301,Computer Engineering ,325,435
MH302,Electronic Engineering ,370,470
MH303,Communications Engineering ,370,370
MH304,Computer Electronic Communications Engineering ,370,450









MU001,Theology and Arts ,340,355
MU002,Theology ,300,320









SN001,Business Studies in Int Hotel Mgt 
SN002,Commerce Dip in Int Hotel Mgt 









SG141,Business Studies ,340,365
SG145,Computing in Web Development ,270,320
SG341,Quality Management No Offers 
SG441,Environmental Science Tech ,280,320
SG445,Pharmaceutical Science ,250,320









AS001,Home Econ Biology ,450
AS002,Home Econ Catechetics ,440
AS110,General Nursing ,360
AS111,Mature Applicants General Nursing 
AS130,Mental Handicap Nursing ,190,300
AS131,Mature Applicants Mental Handicap Nursing 









TI005,Business Studies THURLES ,230,305









TL110,General Nursing ,370,380
TL111,Mature Applicants General Nursing 
TL115,Psychiatric Nursing ,300,330
TL116,Mature Applicants Psychiatric Nursing 
TL170,Folk Theatre Studies ,710,770
TL180,Hospitality Management ,265,310
TL280,Business Studies ,285,340
TL290,Interactive Multimedia ,300,345
TL320,Computing with Enterprise Studies ,335,370
TL360,Computing with Multimedia ,305,350
TL370,Computing with Internet Development ,290,295









WD025,Construction Management ,300,355
WD026,Electronics ,310,360
WD027,Music 
WD028,Applied Computing ,290,375
WD048,Business studies ,330,370
WD049,Business French ,340,385
WD079,Administration ,310,360
WD080,Business with German ,385,430
WD084,Accounting ,345,385
WD085,Manufacturing Systems Engineering ,305,360
WD086,Electronic Engineering ,320,390
WD091,Hospitality Management ,255,320
WD095,Marketing ,310,360
WD116,General Nursing ,380,410
WD117,Psychiatric Nursing ,300,340
WD120,Mental Handicap Nursing ,235,305
WD123,Languages marketing ,300,365
WD124,Health Promotion ,305,365
WD125,Exercise Health Studies ,270,340
WD816,Mature Applicants General Nursing 
WD817,Mature Applicants Psychiatric Nursing 
WD820,Mature Applicants Mental Handicap Nursing 
