

AL031,Computer and Software Engineering ,265,315
AL032,Polymer Technology ,295,355
AL033,Toxicology ,255,335
AL035,Construction Technology Management ,205,325
AL110,General Nursing ,380
AL111,Mature Applicants General Nursing 
AL112,Psychiatric Nursing ,305,330
AL113,Mature Applicants Psychiatric Nursing 









PC410,Humanities ,310,345









CW046,Computer Networking ,190,300
CW100,International Business with French No Offers 
CW105,Early Childhood Studies ,370
CW120,Early Childhood Studies Wexford Campus ,340
CW122,in Accounting ,240,325









CR105,Chemical Engineering ,440,480
CR106,Computer Applications ,255,335
CR107,Electronic Engineering ,310,365
CR108,Mechanical Engineering ,380,440
CR109,Structural Engineering ,425,450
CR111,Computerised Instrument Systems ,225,330
CR112,Multimedia ,420,445
CR116,Software Dev Comp Net ,300,360
CR121,Music ,905
CR150,Business Studies in Information Systems ,345,370









CK101,Arts ,380,420
CK102,Social Science ,405,435
CK103,Music 
CK104,
CK105,European Studies ,265,390
CK106,Applied Psychology ,505,520
CK111,Early Childhood Studies ,390,410
CK112,Drama and Theatre Studies 
CK113,Language and Cultural Studies ,280,390
CK201,Commerce ,445,470
CK202,Accounting ,475,495
CK203,Business Information Systems ,380,420
CK204,Finance ,445,475
CK205,Commerce with French ,405,465
CK206,Commerce with German ,400,440
CK207,Commerce with Italian ,310,385
CK208,Commerce with Spanish ,415,455
CK209,Commerce with Irish ,400,430
CK210,Government and Public Policy ,390,435
CK301,Law ,525
CK302,Law and French ,515,540
CK303,Law and German ,475,495
CK304,Law and Irish ,505,540
CK401,Computer Science ,290,345
CK402,Biological and Chemical Sciences ,355,445
CK404,Environmental Sciences ,300,375
CK405,Genetics ,455,485
CK406,Chemical Sciences ,275,430
CK407,Mathematical Sciences ,485,545
CK408,Physics and Astrophysics ,430,490
CK501,Food Business ,315,350
CK504,Nutritional Sciences ,410,450
CK505,Food Science and Technology ,270,355
CK601,Process Engineering ,475,500
CK602,Civil and Environmental Engineering ,495,530
CK603,Electrical and Electronic Engineering ,340,465
CK604,Microelectronic Engineering ,265,440
CK701,Medicine ,565,575
CK702,Dentistry ,555
CK703,Pharmacy ,565
CK704,Occupational Therapy ,490,510
CK705,Speech and Language Therapy ,510,535
CK710,General Nursing ,420
CK711,Mature Applicants General Nursing 
CK720,Psychiatric Nursing ,340,360
CK721,Mature Applicants Psychiatric Nursing 
CK730,Mental Handicap Nursing ,325,350
CK731,Mature Applicants Mental Handicap Nursing 









AH001,Theology and Philosophy 
AH002,Theology and Psychology 
AH003,Theology and English Literature 









AC120,International Business ,195,310
AC141,Behavioral Science Psychology ,190,325









CE001,Church of Ireland 









CM001,Marino ,450
CM002,









DB512,Business Studies ,240,320
DB521,Accountancy and Finance ,240,330
DB531,Marketing ,240,315
DB551,Anthropology ,255,320
DB552,Arts Literature and Drama ,245,330
DB561,Arts General ,250,335
DB562,Arts Psychology ,235,335









DC111,Business Studies ,430,450
DC112,European Business French ,430,460
DC113,European Business German ,390,415
DC114,European Business Spanish ,420,425
DC115,Accounting Finance ,475
DC116,European ,500,505
DC118,le Gaeilge Fheidhmeac ,325,425
DC121,Computer Applications ,300,355
DC122,Computational Linguistics No Offers 
DC125,Mathematical Sciences ,355,425
DC126,Financial and Actuarial Maths ,510,540
DC131,Communications ,480,500
DC132,Journalism ,490,510
DC133,Multimedia ,450,470
DC146,Int Bus ,395,430
DC147,Int Bus ,420,490
DC148,Int Bus ,415,455
DC149,Int Bus Japanese ,330,390
DC151,Languages for International Communication French ,390,435
DC152,Languages for International Communication German ,350,370
DC153,Languages for International Communication Spanis ,330,370
DC154,Languages for International Communication ,355,430
DC161,Analytical Science ,345,385
DC162,Chemical and Pharmaceutical Sciences ,335,390
DC165,Science International ,355,415
DC166,Environmental Science and Health ,350,390
DC167,Physics with Astronomy ,345,390
DC171,Applied Physics ,345,405
DC181,Biotechnology ,320,385
DC191,Electronic Engineering ,305,415
DC192,Information and Communications Engineering ,305,370
DC193,Mechatronics ,295,400
DC195,Engineer ,350,385
DC196,Manufact Studies ,345,420
DC197,Medical Mechanical Engineering ,360,420
DC198,Mech and Manufact Engineering ,325,410
DC199,Digital Media Engineering ,325,425
DC200,Electronics Engineering Common Entry ,330,425
DC201,Science Common Entry ,330,380
DC202,Sport Science and Health ,465,490
DC203,Science Education ,330,365
DC211,Music Performance 
DC215,General Nursing ,350,370
DC225,Mature Applicants General Nursing 
DC216,Psychiatric Nursing ,235,300
DC226,Mature Applicants Psychiatric Nursing 
DC217,Mental Handicap Nursing ,200,305
DC227,Mature Applicants Mental Handicap Nursing 









FT001,Product Design ,375,405
FT002,Engineering Systems Maintenance ,240,280
FT003,Manutronics Automation ,235,275
FT004,Civil Engineering ,385,415
FT005,Building Services Engineering ,310,340
FT006,Mechanical Engineering ,335,365
FT007,Automotive Technology and Management ,300,330
FT008,Electronics and Communications ,200,295
FT009,Electrical and Control Systems ,175,325
FT101,Architecture 
FT110,Property ,395,410
FT111,Const Econ Mgt ,415,440
FT112,Geomatics ,330,365
FT116,Environmental Planning Management ,390,415
