AL001,Business,165,280
AL003,Office Management,150,295
AL005,Front Office Management,120,250
AL006,Applied Social Studies in Social Care,300,335
AL010,Mechanical Engineering,135,270
AL011,Electronics and Computer Engineering,155,275
AL013,Civil Engineering,150,270
AL015,Construction Studies,150,245
AL016,Science  (Applied Biology/Applied Chemistry),180,325
AL018,Hospitality Business Management,120,245
AL020,Design (Communications),600#,875
AL021,Biotechnology,195,320
AL022,Business Computing,155,270
AL023,Accounting Technician,AQA,315
AL024,Engineering - Mechatronics,190,315
AL025,Business (Equine Studies),AQA,260
AL027,Business (Sport and Recreation),225,280
AL028,Front Office and Tourism Management,125,230
AL029,Veterinary Nursing,360,410
AL040,Financial Services,125,260
AL041,Science (Pharmaceutical Technician),230,340
AL042,Dental Nursing,245,315
AL046,Mobile Communications and Electronics,195,245
PC402,Humanities,180,300
PC404,Social Studies,300,345
CR001,Applied Physics & Instrumentation,125,385
CR006,Applied Biosciences,240,375
CR007,Chemistry,215,445
CR010,Agriculture,165,315
CR016,Computing,250,325
CR021,Business Studies,280,385
CR022,Business Studies (Office Information Systems),230,295
CR023,Business Studies (Accounting),310,460
CR031,Social Care,335,395
CR032,Recreation & Leisure,285,360
CR036,Design Communication,640#,805
CR041,Business Studies (Tourism),215,310
CR042,Hotel & Catering Management,175,280
CR046,Transport Management and Technology (Automobile Technolog,AQA,240
CR051,Civil Engineering,340,435
CR052,Construction,340,390
CR053,Interior Architecture,285,375
CR061,Electronic Engineering,AQA,300
CR062,Electrical Engineering,AQA,260
CR071,Mechanical Engineering,230,345
CR072,Building Services Engineering,250,305
CR075,Biomedical Engineering,205,390
CR085,Biomedical Science,410,475
CR090,Architectural Technology,400,450
CR094,Nautical Science at National Maritime College of Ireland,100#,345
CR095,Marine Engineering at National Maritime College of Ireland,180#,280
CR201,Art & Design at Crawford College of Art & Design,705#,825
CR620,Early Childhood Care and Education,300,375
CR640,Culinary Arts,AQA,295
CR650,Bar Management,AQA,230
CR888,Computing Information Technology Support,AQA,230
DB513,Business,130,230
DB522,Business in Accounting,110,245
DB533,Business Studies in Marketing,170,245
DB542,Business Studies in Information Technology,N/A,N/A
DB563,Cultural Studies,AQA,255
DB571,Business Studies,105,300
DB572,Business in Accounting,AQA,295
DB573,Business in Marketing,AQA,260
DB574,Business in Information Technology,N/A,N/A
DB575,Social Studies,AQA,275
DB576,Film & Media,AQA,285
DB577,Communications & Multimedia,135,335
TA001,Arts - Audio Visual Media,315,375
TA011,Arts - Audio Visual Media,315,395
TA101,Business - Accounting,200,315
TA102,Business - Management,200,275
TA103,Business - Marketing Management,200,265
TA111,Business - Accounting,200,345
TA112,Business - Bar Management,AQA,210
TA113,Business - Management,200,310
TA114,Business -  Marketing,200,280
TA201,Engineering - Electronic Engineering,AQA,225
TA202,Engineering - Electro-Mechanical Systems,AQA,210
TA203,Engineering - Mechanical,120,205
TA210,Engineering - Electro-Mechanical Systems,N/A,N/A
TA211,Engineering - Electronics and Telecommunications Systems,N/A,N/A
TA212,Engineering - Manufacturing,N/A,N/A
TA213,Engineering - Mechanical,205,315
TA214,Engineering - Software and Network Engineering,N/A,N/A
TA301,Science - Applied Biology or Applied Chemistry,110,315
TA302,Science - Computing in Information Systems,105,220
TA311,Science - Bio Analysis or Chemical Analysis,130,350
TA312,Science - Computing,125,250
TL120,Business Studies (Tourism),155,250
TL125,Information Systems Management,295,295
TL130,Business Studies (Culinary Arts),145,235
TL140,Business Studies (Tourism & Languages),#,#
TL150,Bar Management,AQA,215
TL190,Applied Social Studies,310,360
TL210,Advanced Business Studies,405,470
TL220,Business Studies,180,280
TL260,Business Studies (Languages & Business - French ),290,400
TL270,Business Studies (Languages & Business - German),N/A,N/A
TL310,Computing,190,290
TL350,Business Studies (Office Information Systems),160,270
TL420,Science (Applied Biology),210,310
TL440,Science (Applied Chemistry),AQA,365
TL480,Science (Health & Leisure Studies),295,365
TL620,Engineering (Civil),210,295
TL630,Construction,170,255
TL650,Engineering (Agricultural ),145,290
TL660,Engineering in Construction Plant,210,255
TL670,Engineering (Mechanical ),AQA,190
TL690,Engineering (Mechanical & Electronic),175,285
GA170,Business,320,395
GA171,Administration and Information Systems,180,280
GA172,Rural Enterprise & Agri-Business  (Year 1 at Mountbellew),150,255
GA173,Gn¢ agus Cumars_id(Leibhäal 7),175,315
GA270,Art and Design,526+,711+
GA271,Film and Television,410,450
GA272,Heritage Studies,220,340
GA370,Hotel & Catering Management,140,285
GA371,Hospitality Information Technology,145,290
GA372,Culinary Arts,140,310
GA373,Bar Management,140,265
GA470,Construction Management,335,370
GA471,Construction Economics and Quantity Surveying,345,395
GA472,Architectural Technology,355,395
GA473,Civil Engineering,380,440
GA474,Forest Management,165,290
GA560,Computer and Electronic Systems,140,255
GA570,Computer and Electronic Engineering,205,330
GA670,Mechanical Engineering,210,325
GA671,Industrial Engineering,150,280
GA770,Applied Freshwater and Marine Biology,250,355
GA771,Applied Biology and Biopharmaceutical Science,255,385
GA772,Chemical  and Pharmaceutical Science,255,430
GA773,Physics and Instrumentation,270,415
GA774,Science  (Undenominated),250,385
GA775,Computing in Software Development,170,315
GA776,Business Computing and Digital Media,140,280
