AL601,Electronics and Computer Engineering,210,N/A
AL602,Mechanical Engineering,175,N/A
AL604,Civil Engineering,175,N/A
AL630,N/A,N/A,N/A
AL631,Dental Nursing,265,N/A
AL632,Science (Bioscience/Chemistry),210,N/A
AL650,Business,210,N/A
AL651,Music and Instrument Technology,195,N/A
AL652,Business in Equine Studies,AQA,AQA
AL653,Office Management,AQA,AQA
AL654,Accounting Technician,AQA,AQA
AL655,Social Media Marketing,AQA,AQA
AL657,Computing for Business,300,N/A
AL660,Culinary Arts,233,N/A
AL661,Bar Supervision,AQA,N/A
AL663,Business (Sport and Recreation),200,N/A
AL664,Applied Social Studies,300,280
AL701,ICT Engineering,210,N/A
AL702,Electronics and Wireless Communications,280,N/A
AL703,Network Management,205,N/A
AL704,Computer Engineering,205,N/A
AL705,Software Development (Mobile Apps and Connected,210,N/A
AL710,Mechanical Engineering,225,N/A
AL711,Mechanical Engineering and Renewable Energy,260,245
AL712,Mechatronics,185,N/A
AL713,Engineering (Common Entry into Mech. Renewable,220,N/A
AL721,Civil Engineering,AQA,185v
AL730,Biotechnology,245,N/A
AL731,Veterinary Nursing,425,N/A
AL733,Forensic Toxicology,205,N/A
AL734,Pharmaceutical Science (Drug Design and Develop,205,N/A
AL750,Business Computing,205,N/A
AL760,Spa and Wellness Management,210,N/A
AL761,Hotel and Leisure Management,185,N/A
AL763,Graphic Design,680#,N/A
AL764,Early Years Care and Education,275,N/A
PC402,Humanities,215,205
PC404,Applied Social Studies in Social Care,220,205
CW006,Business Studies (Wexford),AQA,AQA
CW017,Applied Social Studies(Professional Social Care,170,N/A
CW037,Business (Options:Business or Digital Marketing,195,N/A
CW046,Computing (Wexford),180,N/A
CW057,Art (Wexford) - Portfolio,700#,N/A
CW067,Culture and Heritage Studies (Wexford),175,N/A
CW106,Physiology and Health Science,450,N/A
CW107,Analytical and Forensic Science,245,N/A
CW116,Pharmacy Technician Studies,285,N/A
CW117,Biosciences,235,N/A
CW126,Science - Applied Biology or Applied Chemistry,220,N/A
CW206,Computing (Options: Apps/Commercial Prog./Netwo,285,N/A
CW207,Software Development,330,N/A
CW217,Computer Systems Management,270,N/A
CW407,Architectural Technology,175,N/A
CW416,Construction Technology,165,N/A
CW417,Construction - Buildings and Services Managemen,170,N/A
CW427,Civil Engineering,195,N/A
CW507,Aircraft Systems,310,N/A
CW517,Mechanical Engineering,240,N/A
CW527,Electronic Engineering,225,220
CW547,TV and Media Production,375,345
CW706,Legal Studies,200,N/A
CW707,Industrial Design,265,N/A
CW717,Applied Social Studies (Professional Social Car,260,N/A
CW807,Sport and Exercise (GAA) - Portfolio,700#,700#
CW817,Sport and Exercise (Rugby) - Portfolio,700#,700#
CW827,Sport and Exercise (Soccer) - Portfolio,700#,700#
CW906,Business Studies,180,N/A
CW917,Business (Options:HRM  Intl Bus.  Mngt  Mktg &,200,N/A
CW926,Business with Law,180,N/A
CW927,Business Administration,200,N/A
CW936,Accounting,205,N/A
CR001,Applied Physics and Instrumentation,280,N/A
CR006,Applied Biosciences,340,N/A
CR007,Analytical and Pharmaceutical Chemistry,280,N/A
CR010,Agriculture,360,N/A
CR011,Horticulture,AQA,AQA
CR016,Computing,310,300
CR021,Business Studies,290,N/A
CR022,Business Administration,255,N/A
CR023,Accounting,305,N/A
CR031,Social Care,350,340
CR032,Recreation and Leisure Management,335,N/A
CR035,Community Development,AQA,N/A
CR041,Tourism,255,235
CR042,Hospitality Management,250,N/A
CR046,Transport Management and Technology,210,N/A
CR051,Civil Engineering,230,N/A
CR052,Construction(award options in Const Mngt or Qua,220,N/A
CR053,Interior Architecture,245,N/A
CR055,Environmental Engineering,230,N/A
CR061,Electronic Engineering,240,N/A
CR062,Electrical Engineering,250,N/A
CR071,Mechanical Engineering,305,N/A
CR075,Biomedical Engineering,305,N/A
CR077,Craft Technology (Wood) with Business,215,N/A
CR078,Craft Technology - Mechanical Services,205,N/A
CR090,Architectural Technology,240,N/A
CR094,Nautical Science at National Maritime College o,310,N/A
CR095,Marine Engineering at National Maritime College,270,N/A
CR300,Physical Sciences (Common Entry),280,N/A
CR620,Early Years Education,340,N/A
CR640,Culinary Arts,300,290
CR650,Bar Management,245,235
CR655,Culinary Studies,235,N/A
CR657,Hospitality Studies,215,N/A
CR805,Marine Electrotech. at National Maritime Colleg,210,N/A
CR888,Information Technology,280,270
CT110,Computing in Information Technology,AQA,N/A
CT116,Information Technology,AQA,N/A
CT316,Business,135,N/A
DS601,Business,AQA,AQA
DS602,Computing and Multimedia,AQA,AQA
DS603,Computing and Multimedia (Certificate),N/A,N/A
DS701,Business,AQA,N/A
DS702,Computing and Multimedia,AQA,AQA
DB513,Business,110,110
DB522,Business in Accounting,AQA,N/A
DB533,Business in Marketing,120,120
DB563,Arts,AQA,AQA
DB571,Business Studies,110,110
DB572,Business in Accounting,AQA,AQA
DB573,Business in Marketing,AQA,AQA
DB574,Business in Information Technology,AQA,AQA
DB575,Social Studies,AQA,AQA
DB576,Film and Media,AQA,AQA
DB578,Journalism and Media,AQA,AQA
DB580,Legal Studies,125,125
DB581,Legal and Business Studies,195,N/A
DB582,Legal Studies,130,130
DB583,Legal and Business Studies,AQA,AQA
DT002,Engineering Systems Maintenance,240,N/A
DT003,Automation Engineering,270,260
DT004,Civil Engineering,260,N/A
DT005,Building Services Engineering,225,220
DT006,Mechanical Engineering,310,N/A
DT007,Automotive Management and Technology,240,N/A
DT008,Electronics and Communications Engineering,260,N/A
DT009,Electrical and Control Engineering,250,N/A
DT010,Sustainable Design in Electrical Services Engin,255,N/A
DT011,Aviation Technology,340,N/A
DT080,Networking Technologies,260,N/A
DT097,Engineering (General Entry),340,N/A
DT104,Auctioneering  Valuation and Estate Agency,275,N/A
DT169,Timber Product Technology,265,200
DT170,Buildings Management (Maintenance and Conservat,220,170
DT212,Science - Common 1st  Year,360,N/A
DT219,Ophthalmic Dispensing,300,N/A
DT259,Biosciences,370,N/A
DT260,Industrial and Environmental Physics,255,N/A
DT261,Medicinal Chemistry and Pharmaceutical Sciences,350,330
DT303,Marketing,330,N/A
DT315,Business Studies,350,N/A
DT324,Business Management,350,345
DT360,Retail Management and Marketing,300,N/A
DT406,Tourism Management,290,N/A
DT408,Hospitality Management,290,270
DT411,Leisure Management,300,280
DT418,Baking and Pastry Arts Management,320,N/A
DT424,Food Science and Management,300,N/A
DT425,Pharmacy Technician Studies,350,N/A
DT432,Culinary Arts (Professional Culinary Practice),275,265
DT598,Visual Merchandising and Display,510#,N/A
DL701,Business Studies - Entrepreneurship,200,N/A
DL704,Creative Music Production,795#,N/A
GF001,Business,N/A,N/A
GF010,Business in Management,AQA,N/A
GF011,Business in Accounting,400,N/A
GC211,Business (Cork),N/A,N/A
GC265,Journalism (Cork),AQA,AQA
GC306,International Hospitality Management (Limerick),105,N/A
GC310,Marketing (Limerick),280,N/A
GC311,Business (Limerick),125,125
GC316,Business (Limerick),180,N/A
GC335,Computing (Limerick),120,120
GC340,Computing (Limerick),100,100
GC406,International Hospitality Management (Dublin),AQA,AQA
GC410,Marketing (Dublin),AQA,N/A
GC411,Business (Dublin),145,120
GC416,Business (Dublin),140,140
GC425,Legal Studies (Dublin),120,120
GC435,Computing (Dublin),AQA,AQA
GC440,Computing (Dublin),115,N/A
GC445,Computer Games Technology (Dublin),AQA,AQA
GC460,Music Production for Games (Dublin) - Portfolio,400#,300#
GC465,Journalism (Dublin),120,120
GC466,Film and TV Production (Dublin),AQA,AQA
GC470,Photographic Media (Dublin),100,100
GC475,Photography (Dublin),AQA,AQA
GC490,Interior Design (Dublin),AQA,AQA
BY201,Business,160,N/A
BY251,Business,165,N/A
BN001,Electronics and Computer Engineering,185,N/A
BN002,Computing (Information Technology),200,N/A
BN003,Business,180,N/A
BN009,Mechatronic Engineering,195,N/A
BN010,Business and Information Technology,185,N/A
BN011,Applied Social Studies in Social Care,310,N/A
BN012,Computer Engineering,185,N/A
BN013,Computing (Information Technology),200,N/A
BN014,Business,185,N/A
BN015,Engineering(Common Ent. - Computer Eng  Mechant,AQA,AQA
