BN007,Horticulture - Warrenstown,255,N/A
BN008,Horticulture - Botanic Gardens,280,N/A
TA002,Computing,280,N/A
TA003,Science,AQA,N/A
TA004,Electronic Engineering,AQA,N/A
TA005,Mechanical Engineering,AQA,N/A
TA101,Business Studies ( Accounting ),280,N/A
TA102,Business Studies ( Bus Admin ),305,N/A
TA103,Business Studies ( mark & Lang ),300,N/A
TA104,Audio/Visual Communications,395,N/A
TA105,Applied languages,AQA,N/A
TA107,Languages with Heritage Studies,AQA,N/A
TA108,Business Studies - Marketing,300,N/A
TA404,Engineering - Microelectron and Sem,AQA,N/A
TA504,Engineering - Electro/Mechnical Sys,AQA,N/A
NC101,Industr. Rels/Human Resources.,315,N/A
NC102,Computing,280,N/A
NC201,Industr. Rels/Human Res (ABP),255,N/A
DK001,Electronics/product development,300,N/A
DK002,Electronics,AQA,N/A
DK003,Computing,220,N/A
DK005,Business Studies,AQA,N/A
DK006,Business studies( Mark / Language),AQA,N/A
DK007,Office Info Systems,AQA,N/A
DK008,Civil Engineering,AQA,N/A
DK009,Construction Studies,120,N/A
DK010,Manufacturing Eng.,AQA,N/A
DK011,Mechanical Engineering,AQA,N/A
DK012,Biology,110,N/A
DK050,Food Science,AQA,N/A
DK051,Chemistry,AQA,N/A
DK052,Applied Cultural Studies,AQA,N/A
DK053,Environmental Science,105,N/A
DK054,Computing Applications & Support,175*,N/A
DK055,Communications with Multimedia,275,N/A
DK103,Computing Software Dev / French,235,N/A
DK107,Office Info Systems ( language ),185,N/A
DK152,Applied Cultural Studies ( French ),195,N/A
DK154,Comput Applics & Supp / French,245,N/A
DK203,Computing Software Dev / German,220,N/A
DK207,Office Info Systems(Public Relation,100,N/A
DK252,Applied Cultural Studies ( German ),255,N/A
DK254,Comput Applics & Supp / German,185,N/A
GA002,Business Studies,350*,N/A
GA004,Agribusiness,180,N/A
GA005,Office Info Systems,320,N/A
GA006,Science,150,N/A
GA009,Civil Engineering,330,N/A
GA010,Construction,280,N/A
GA011,Electronic Engineering,200,N/A
GA012,Industrial Engineering,130,N/A
GA013,Mechanical Engineering,230,N/A
GA014,Med Lab Science,380,N/A
GA015,Furniture at Letterfrack,755+,N/A
GA016,Property Valuation and Estate Agenc,340,N/A
GA017,Art and Design,505+,N/A
